Year,Education,Value,URL,Test
2011,No formal education,401.3,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2012,No formal education,399.7,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2013,No formal education,417.4,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2014,No formal education,383.8,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2015,No formal education,431.7,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2016,No formal education,377.4,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2017,No formal education,379.7,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2018,No formal education,401.5,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2019,No formal education,442,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2020,No formal education,358,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2021,No formal education,513.1,https://cdn-icons-png.flaticon.com/512/6135/6135032.png,3500
2011,Primary,2129.8,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2012,Primary,2206.4,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2013,Primary,2346.8,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2014,Primary,2236.2,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2015,Primary,2195.8,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2016,Primary,2078.6,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2017,Primary,1956.3,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2018,Primary,1928.5,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2019,Primary,1821.2,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2020,Primary,1506.3,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2021,Primary,1293.9,https://cdn-icons-png.flaticon.com/512/8313/8313527.png,3500
2011,Secondary,6833.3,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2012,Secondary,7128.1,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2013,Secondary,7534.6,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2014,Secondary,7654.2,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2015,Secondary,7587,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2016,Secondary,7812.2,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2017,Secondary,8079.3,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2018,Secondary,8216.5,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2019,Secondary,8375,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2020,Secondary,8313.8,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2021,Secondary,8469.3,https://cdn-icons-png.flaticon.com/512/8074/8074797.png,3500
2011,Tertiary,2987.1,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2012,Tertiary,3086.3,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2013,Tertiary,3246.6,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2014,Tertiary,3578.4,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2015,Tertiary,3853.3,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2016,Tertiary,3895.6,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2017,Tertiary,4061.5,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2018,Tertiary,4229.4,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2019,Tertiary,4435.2,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2020,Tertiary,4778.7,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
2021,Tertiary,4787.8,https://cdn-icons-png.flaticon.com/512/4345/4345672.png,3500
